word,definition,ner,root_word,pos
DIFFICULT,"needing much effort or skill to accomplish, deal with, or understand",,difficult,JJ
COLOR,property of affecting eye by reflecting or emitting light,,color,NN
SURPRISE,"unexpected or astonishing event, fact",,surprise,NN
SEND,cause to go or be taken to particular destination,,send,NN
JEWELLERY,personal ornaments made from or containing jewels and precious metal,,jewellery,NN
SEVERE,strict or harsh,,severe,JJ
FATHERS DAY,"a day of the year on which fathers are particularly honoured by their children. It was first observed in the state of Washington in 1910; in the US, South Africa, and Britain, it is usually the third Sunday in June, in Australia, the first Sunday in September.",,fathers day,NN
SAME,identical,,same,JJ
BREAK WIND,emit wind from anus,,break wind,NN
BUTT,buttocks or anus,,butt,NN
SUDDEN,occurring or done quickly and unexpectedly or without warning,,sudden,JJ
DINNER,main meal of day,,dinner,NN
IN DEPTH,comprehensively,,in depth,NN
APOLOGETIC,expressing or showing regretful acknowledgement of offence or failure,,apologetic,JJ
BISHOP,senior member of Christian clergy,,bishop,NN
BUSY,having a great deal to do,,busy,JJ
PLAY,activity engaged in for recreation,,play,NN
GOOSE ,large waterbird,,goose ,NN
WELCOME,an instance or manner of greeting someone,,welcome,NN
FACETIME,have a face-to-face conversation with (someone) over the internet using the mobile app FaceTime,,facetime,NN
RELEASE,action or process of releasing or being released,,release,NN
MUSTACHE,strip of hair left to grow above upper lip,,mustache,NN
HOUR,twenty-fourth part of day,,hour,NN
PREFER,like one thing or person better than another or others,,prefer,NN
TWO OF YOU,"used for emphasis to refer to two people, regarded and identified together",,two of you,NN
BONE,piece of hard tissue making up skeleton,,bone,NN
DOOR,barrier at entrance to building or room,,door,NN
NEAREST,at short distance away from,,nearest,JJS
LONG HAIR,hair that is longer than standard length,,long hair,NN
PAY ATTENTION,"to watch, listen to, or think about something or someone carefully or with interest",,pay attention,NN
SILVER SPRING,"Silver Spring is a census-designated place (CDP) in southeastern Montgomery County, Maryland, United States, near Washington, D.C.",,silver spring,VBG
REAL,actually existing as thing or occurring in fact,,real,JJ
LET,allow,,let,VB
FUNNY,causing amusement,,funny,NN
ANECDOTE,short amusing or interesting story,,anecdote,NN
WATCHED,look at or observe attentively over a period of time,,watched,VBN
TWENTY FOUR,The cardinal number that is the sum of twenty-three and one,,twenty four,NN
PENNSYLVANIA,"a state in the north-eastern US; population 12,448,279 (est. 2008); capital, Harrisburg. Founded in 1682 by William Penn, it was one of the original thirteen states of the Union and ratified the US Constitution in 1787",I-LOC,pennsylvania,NN
RIDE,sit on and control movement of,,ride,NN
LESS,smaller amount of,,le,RBR
BODY,physical structure of person or animal,,body,NN
BILATERAL HEARING LOSS,lacking power of hearing or having impaired hearing in both ears,,bilateral hearing loss,NN
MISCHIEVOUS,causing or showing fondness for causing trouble in playful way,,mischievous,JJ
SWARM,large or dense group of flying insects,,swarm,NN
K,eleventh letter of alphabet,,k,NN
POINT BOTTOM,direct someone's attention towards something by extending one's finger or something held in one's hand,,point bottom,NN
COMPROMISE,an agreement or settlement of a dispute that is reached by each side making concessions,,compromise,NN
VIRTUALIZATION,action of creating image,,virtualization,NN
MAKE,form something,,make,VB
ASSETS,useful or valuable thing or person,,asset,NNS
BEAVER,large semiaquatic rodent,,beaver,NN
DENMARK,Scandinavian country consisting of greater part of Jutland peninsula and several neighbouring island,I-LOC,denmark,NN
AMAZON,"Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence.",I-ORG,amazon,NN
BUFF,polish (something),,buff,NN
SUNDAY,"day of week before Monday and following Saturday, observed by Christians as day of rest and religiou",,sunday,NN
FAVOURITE,preferred to all others of same kind,,favourite,NN
KEEP,have or retain possession of,,keep,VB
CARDS,piece of stiff paper,,card,NNS
ASSORTMENT,miscellaneous collection of things or people,,assortment,NN
BOOK,written or printed work,,book,NN
AWS,Amazon Web Service,I-ORG,aws,NNS
SUBSCRIPTION,action of making or agreeing to make advance payment,,subscription,NN
SQUANDER,waste something,,squander,NN
PROCEED,begin course of action,,proceed,NN
CONFUSED,bewildered,,confused,VBN
WELCOME,instance or manner of greeting someone,,welcome,NN
CENTERS,"the point from which an activity or process is directed, or on which it is focused.",,center,NNS
BITTEN,past participle of bite,,bitten,NN
TRAFFIC,vehicles moving on public highway,,traffic,NN
PREVENT,keep something from happening,,prevent,NN
SAFETY,condition of being protected from or unlikely to cause danger or injury,,safety,NN
THIRSTY,feeling need to drink,,thirsty,NN
ESCAPE,break free from confinement or control,,escape,NN
OBSERVE,to watch or look at something,,observe,NN
SUPPOSE,think or assume that something is true or probable but lack proof,,suppose,NN
BAKING,action of cooking food by dry heat,,baking,NN
OVERALLS,protective garment,,overall,NNS
STORED,keep or accumulate something for future use,,stored,VBN
WILL,expressing inevitable events,I-PER,will,MD
FIGHT,take part in violent physical struggle,,fight,NN
HAVE,"possess, own, or hold",,have,VB
LUNCH,meal eaten in middle of day,,lunch,NN
VANILLA,substance obtained from vanilla pods or produced artificially and used to flavour foods or to impart,,vanilla,NN
TEAM,come together as team to achieve common goal,,team,NN
WARNING,statement or event that warns of something or that serves as cautionary example,,warning,VBG
ACADEMIC,relating to education,,academic,JJ
SUPREME,superior to all others,,supreme,NN
OPEN,move door or window to allow access,,open,JJ
MISSISSIPPI,"a major river of North America, which rises in Minnesota near the Canadian border and flows south to a delta on the Gulf of Mexico. With its chief tributary, the Missouri River, it is 5,970 km (3,710 miles) long",I-LOC,mississippi,NN
NOTEBOOK,small book with blank or ruled pages for writing notes in,,notebook,NN
SYMBOL,thing that represents for something else,,symbol,NN
YOU AND ME,used to refer to any person in general,,you and me,NN
BRUTAL,savagely violent,I-PER,brutal,NN
REALIZED,become fully aware of something as fact,,realized,VBN
POSSIBLE,able to be done,,possible,JJ
ANSWER,thing said in response to another,,answer,NN
BRAND NEW,"completely new, especially not yet used",,brand new,NN
BEST FRIEND,person's closest friend,,best friend,NN
DRIVE,operate motor vehicle,,drive,NN
JOB,position of employment,,job,NN
FAT,having much excess flesh,,fat,NN
BARELY,only just,,barely,RB
SCORE,"the number of points, goals, runs, etc. achieved in a game or by a team or an individual",,score,NN
THANKS,expression of gratitude,,thanks,NNS
BIKINI,two-piece swimming costume for women,I-MISC,bikini,NN
BEING ON TIME,happening or doing something at agreed or proper time,,being on time,NN
WHAT,asking for information specifying something,,what,WP
WHAT DO,asking for information specifying something,,what do,NN
SLOW,at slow pace,,slow,VB
ESSENTIAL,necessary thing,,essential,JJ
DREAM,thoughts and images during sleep,,dream,NN
US,United States,,u,PRP
MARYLAND,"state of eastern US, on Atlantic coast",I-LOC,maryland,NN
MINIMIZE,reduce something to smallest possible amount or degree,,minimize,VB
TIME,point of time as measured in hours and minutes past midnight or noon,,time,NN
MISSISSIPPI,major river of North America,I-LOC,mississippi,NN
ANNOYED,slightly angry,,annoyed,NNS
COLORADO,river which rises in Rocky Mountains of northern Colorado,I-LOC,colorado,NN
BUSINESS,person's regular occupation etc.,,business,NN
TENNESSEE,"river in south-eastern US, flowing some 1,400 km 875 miles in great loop",I-LOC,tennessee,NN
HELP YOU,assist someone to do something,,help you,NN
UNIVERSITY,high-level educational institution in which students study for degrees,,university,NN
INFLUENCE,capacity to have effect on someone or something,,influence,NN
BANK ON,base one's hopes on,,bank on,NN
ASSURANCE,promise,,assurance,NN
BABE,affectionate form of address,,babe,NN
AGAIN,once more,,again,RB
ACCIDENTALLY,by chance,,accidentally,RB
GYMNASTICS,exercises developing or displaying physical agility and coordination,,gymnastics,NNS
MEMORIES,faculty of remembering,,memory,NNS
STORAGE,action or method of storing something for future use,,storage,NN
JOINT,structure in body where two parts join,,joint,NN
BARN,large farm building used for storing grain,,barn,NN
BITTERNESS,sharpness of taste,,bitterness,NN
ADOPT,legally take (another's child) and bring it up as one's own,,adopt,NN
MINUTE,sixty seconds,,minute,NN
OLD,no longer young,,old,JJ
FIGHT,violent confrontation or struggle,,fight,NN
BUSH,a shrub or clump of shrubs with stems of moderate length,,bush,NN
WATERPOLO,"seven-a-side game played by swimmers in pool, with ball like football",,waterpolo,NN
LET YOU KNOW,inform someone.,,let you know,NN
EACH,used to refer to every one of two or more people or things,,each,DT
COMPLAIN,express dissatisfaction or annoyance,,complain,NN
RABBIT,gregarious burrowing plant-eating mammal,,rabbit,NN
ALLEGIANCE,loyalty or commitment to superior or to group,,allegiance,NN
EASTER,most important and oldest festival of Christian Church,I-MISC,easter,NN
NEXT WEEK,week after next,,next week,NN
ROWS,a number of people or things in a more or less straight line,,row,NNS
FLASH,shine briefly or intermittently,,flash,NN
DEV-OPS,"DevOps is a methodology in the software development and IT industry. Used as a set of practices and tools, DevOps integrates and automates the work of software development and IT operations as a means for improving and shortening the systems development life cycle.",,dev-ops,NNS
SNOW,snow falls,,snow,NN
SIMPLE,easily understood or done,,simple,NN
CHIROPRACTOR,practitioner of chiropractic,,chiropractor,NN
ANOINT,ceremonially apply oil to,,anoint,NN
360,The number three-sixty,,360,CD
BROOM,"long-handled brush of bristles or twigs, used for sweeping",,broom,NN
BAY,broad inlet of sea where land curves inwards,,bay,NN
NORTH,to or towards north,,north,NN
FIRE STATION,The building where firefighters and fire trucks/fire engines are housed,,fire station,NN
OPERATING SYSTEM,operating system,,operating system,NN
INDIVIDUAL,single or separate,,individual,JJ
ABSENCE,state of being away from place or person,,absence,NN
ELASTIC,able to resume shape spontaneously,I-PER,elastic,JJ
SMOKE,visible suspension of carbon or other particles in air,,smoke,NN
ANTIQUES,valuable old objects,,antique,NNS
REPLY,say something in response to something someone has said,,reply,NN
CD-DRIVE,A CD drive is a device used with a computer to read or write a compact disc.,,cd-drive,JJ
AU PAIR,young person from abroad who helps with housework or childcare,,au pair,NN
HARD,solid and firm,,hard,JJ
FIND,discover by chance or unexpectedly,,find,VB
BOURGEOISIE,middle class,,bourgeoisie,NN
BREEZE,gentle wind,,breeze,NN
MINNESOTA,state in northern central US,I-LOC,minnesota,NN
DECIDE,make up one's mind,,decide,NN
ASTONISHING,extremely surprising or impressive,,astonishing,VBG
SMOKING,action or habit of inhaling and exhaling smoke of tobacco,,smoking,NN
MIXED,consisting of different qualities or elements,,mixed,JJ
PRESENTED,give or award formally or ceremonially,,presented,VBN
WEEKEND,Saturday and Sunday,,weekend,NN
AIRPLANE CRASH,an airplane crash landing,,airplane crash,NN
LEARN,gain knowledge of or skill in something,,learn,NN
SEATBELT,a belt used to secure someone in the seat of a motor vehicle or aircraft,,seatbelt,NN
AWS,"Amazon Web Services, Inc. is a subsidiary of Amazon that provides on-demand cloud computing platform",I-ORG,aws,NNS
RELATED,belonging to same family or type,,related,JJ
PHILOSOPHY,study of nature of knowledge and reality,,philosophy,NN
INTRODUCTION,formal presentation of one person to another,,introduction,NN
ADDED,denoting increased or enhancing quality or factor,,added,VBD
SANDWICH,item of food consisting of two pieces of bread with filling,,sandwich,NN
CLOUD,mass of condensed watery vapour,,cloud,NN
ANTI,opposed to; against,I-PER,anti,NN
LOOK,have appearance of being,,look,NN
BLOOD CLOT,gelatinous mass of fibrin and blood cells formed by coagulation of blood,,blood clot,NN
RECENTLY,at recent time,,recently,RB
RUNNING,operation or production of a machine or process,,running,VBG
RESPECT,feeling of deep admiration for person or thing elicited by their abilities or achievements,,respect,NN
GOATEE,small pointed beard like that of goat,,goatee,NN
LONG SLEEVE,A sleeve extending from shoulder to wrist,,long sleeve,NN
HISTORY,study of past events,,history,NN
GOOD,to be desired or approved of,,good,JJ
CLOSE,move to cover opening,,close,RB
WINTER,"coldest season of year, in northern hemisphere from December to February and in southern hemisphere",,winter,NN
TRUTH,quality or state of being true,,truth,NN
TOUCH,act of touching person or thing,,touch,NN
ANNOY,make someone little angry,,annoy,NN
FAR OUT,unconventional or avant-garde,,far out,NN
COMPLETE,finish making or doing,,complete,JJ
EXHIBIT,publicly display work of art,,exhibit,NN
MOUSE,small rodent with long tail,,mouse,NN
TOPIC,matter dealt with in text or conversation,,topic,NN
HEART,organ that pumps the blood through body,,heart,NN
JUICE,liquid present in fruit or vegetables,,juice,NN
FACE MASK,facial covering,,face mask,NN
AWS,Amazon Web Service,I-ORG,aws,NNS
END,furthest or most extreme part,,end,NN
BALCONY,platform on outside of building,,balcony,NN
SIMPLE,easily understood or done,,simple,NN
TOP,"highest or uppermost point, part",,top,NN
INTERESTING,arousing curiosity or interest,,interesting,VBG
CASHIER,person handling payments and receipts in shop or business,,cashier,NN
DO,perform action,,do,VB
OCEAN,very large expanse of sea,,ocean,NN
SOFT,"easy to mould, cut or fold",,soft,JJ
STORM,"be violent, with strong winds and usually rain, thunder or snow",,storm,NN
NEXT,next person or thing,,next,JJ
HATERS,a person who greatly dislikes a specified person or thing,,hater,NNS
INSURANCE,compensation arrangement for loss etc.,,insurance,NN
PREDICT,say or estimate that specified thing will happen in future or will be consequence of something,,predict,NN
FREE,given or available without charge,,free,JJ
FIRST,coming before all others,,first,RB
WRITE,mark symbols on surface with pen,,write,NN
BONY,of or like bone,,bony,NN
HUMBLE,having modest estimate of one's importance,,humble,JJ
AFTER,in time following,,after,IN
INFORM ME,give facts or information,,inform me,NN
SCARE,cause great fear or nervousness in,,scare,NN
AMBIGUITY,quality of being open to more than one interpretation,,ambiguity,NN
STREAMING,relating to data transmitted in continuous stream,,streaming,VBG
AWE,feeling of reverential respect mixed with fear or wonder,,awe,NN
PEANUT BUTTER,"a thick soft substance made from peanuts, usually eaten spread on bread",,peanut butter,NN
BRIEF,of short duration,,brief,NN
JOURNEY,act of travelling from one place to another,,journey,NN
WHITE,white colour or pigment,,white,JJ
LOAN,money borrowed,,loan,NN
NONE,by no amount,,none,NN
DAMAGE,physical harm that impairs something,,damage,NN
FUNNY,causing amusement,,funny,NN
NEWS,newly received or noteworthy information,,news,NN
CONGRESS,"a national legislative body, especially that of the US. The US Congress, which meets at the Capitol in Washington DC, was established by the Constitution of 1787 and is composed of the Senate and the House of Representatives",I-ORG,congress,NN
ABOUT,on subject of,,about,IN
MONKEY,small primate with long tail,,monkey,NN
BACK WHEN,"In the past, when people were.",,back when,NN
ALMOST,not quite,,almost,RB
BOTH,"used for emphasis to refer to two people or things, regarded and identified together",,both,DT
FOOD,any nutritious substance that people or animals,,food,NN
SMART,having or showing quick-witted intelligence,I-PER,smart,NN
DELIBERATION,long and careful consideration or discussion,,deliberation,NN
COFFEE,hot drink,,coffee,NN
CONTROL,direct and supervise,,control,NN
FACE,front part of head,,face,NN
ATTIRE,be dressed in clothes of specified kind,,attire,NN
GOAL,aim or desired result,,goal,NN
ATTAINED,succeed in achieving (something that one has worked for).,,attained,VBN
SPRING,"season after winter and before summer, in which vegetation begins to appear, in northern hemisphere from March to May",,spring,NN
DATABASE,structured set of data held in computer,,database,NN
ALL OVER,everywhere,,all over,NN
WHY,for what reason or purpose,,why,WRB
OPEN,move door or window to allow access,,open,JJ
I LOVE YOU,affirmation of love or affection towards another person or group,,i love you,NN
ARKANSAS,"a state in the south central US; population 2,855,390 (est. 2008); capital, Little Rock. It became the 25th state of the US in 1836",I-LOC,arkansas,NNS
SELFIE,photograph one has taken of oneself,,selfie,NN
SCUBA DIVING,sport or activity of swimming underwater using scuba,,scuba diving,VBG
BOTHER,"(of a circumstance or event) worry, disturb, or upset (someone)",,bother,NN
ELEVEN,one more than ten,,eleven,RB
MONDAY,day of week before Tuesday and following Sunday,,monday,NN
LATER,goodbye for present,,later,RB
AT FAULT,responsible for undesirable situation,,at fault,NN
RAIN,condensed moisture of atmosphere falling visibly in separate drops,,rain,NN
GOD,(in Christianity and other monotheistic religions) the creator and ruler of the universe and source of all moral authority; the supreme being,I-PER,god,NN
LOOK,direct gaze in specified direction,,look,NN
3 HAND 3,listing 3 out of 3,,3 hand 3,CD
WELCOME,used to greet someone in polite or friendly way,,welcome,NN
BISON,humpbacked shaggy-haired wild ox native to North America,I-MISC,bison,NN
PERCENT,by specified amount in or for every hundred,,percent,NN
BRAZIL,largest country in South America,I-LOC,brazil,NN
ARTICULATE,fluent and coherent,,articulate,NN
NEED,require something essential,,need,NN
SOUTH,direction towards point of horizon 90° clockwise from east,,south,NN
MODEL,person who displays clothes by wearing them,,model,NN
BOTTLE,container for storing liquids,,bottle,NN
STEPBROTHER,son of step-parent by relationship other than that with one's own father or mother,,stepbrother,NN
IMAGINATION,faculty or action of forming new ideas,,imagination,NN
EASY GOING,relaxed and tolerant in attitude or manner,,easy going,VBG
VISITOR,person visiting someone or somewhere,,visitor,NN
BELUGA,small white toothed whale,I-MISC,beluga,NN
BUZZ,move quickly or busily,,buzz,NN
BEACH,seashore,,beach,NN
A YEAR AGO,"You use ago when you are referring to past time. For example, if something happened one year ago, it is one year since it happened. If it happened a long time ago, it is a long time since it happened.",,a year ago,NN
LOAN ME,lend,,loan me,NN
ARROW,weapon consisting of thin stick with sharp point,,arrow,NN
LANGUAGE,method of human communication,,language,NN
CANDLE,wax light,,candle,NN
PROUD,feeling pleasure or satisfaction as result of achievements etc.,,proud,NN
GO,leave,,go,VB
MALL,shopping area,,mall,NN
EVERY,used before singular noun to refer to all individual members of set without exception,,every,DT
CHEAP,low in price,,cheap,NN
BENCH,long seat,,bench,NN
ARSON,criminal act of deliberately setting fire to property,,arson,NN
TRANSFER,move from one place to another,,transfer,NN
SPILL,cause or allow liquid to flow over edge of its container,,spill,NN
ILLEGAL,contrary to law,,illegal,JJ
INFRASTRUCTURE,basic physical and organizational structures and facilities,,infrastructure,NN
FAVORITE,preferred to all others of the same kind.,,favorite,NN
RESTAURANT,place where people pay to sit and eat meals,,restaurant,NN
MISSED,not able to be found,,missed,VBN
INSTAGRAM,post photograph on Instagram,I-ORG,instagram,NN
DOWN,towards or in lower position,,down,RB
DELIBERATIONS,long and careful consideration or discussion,,deliberation,NNS
BOOK,written or printed work,,book,NN
NORTH CAROLINA,state of east central US,,north carolina,NN
FIELD,area of open land,,field,NN
STRICT,demanding that rules concerning behaviour are obeyed and observed,,strict,NN
FINISH,complete task or activity,,finish,NN
LOOK,appearance of someone or something,,look,NN
COMPLETE,having all necessary parts,,complete,JJ
UP,towards higher place or position,,up,RB
HUNGRY,feeling or showing hunger,,hungry,NN
NOISE,sound,,noise,NN
MEET,come into same place as someone,,meet,NN
WHOM,used instead of 'who' as object of verb or preposition,,whom,WP
NORTH DAKOTA,"agricultural state in north central US, on border with Canada",I-LOC,north dakota,NN
ALSO,in addition,,also,RB
CONSOLE,panel or unit accommodating set of controls for electronic or mechanical equipment,,console,NN
NOTHING,not anything,,nothing,NN
NEVER,not at all,,never,RB
NEWSPAPER,printed publication containing news,,newspaper,NN
POLAND,country in central Europe with coastline on Baltic Sea,I-LOC,poland,NN
ATTEND,be present at,,attend,NN
BORDER,line separating two areas,,border,NN
THAN,used in expressions introducing exception or contrast,,than,IN
BRUSH-TEETH,using a small brush to clean teeth,,brush-teeth,NN
THESE THREE,indicate three things,,these three,NN
BACKGROUND,prevailing circumstances,,background,NN
PIZZA,"dish of Italian origin, consisting of flat round base of dough baked with topping of tomatoes and cheese",,pizza,NN
RESPONSIBLE,being primary cause of something and so able to be blamed or credited for it,,responsible,JJ
FOUNDATION,underlying basis or principle,,foundation,NN
ITSELF,used as the object of a verb or preposition to refer to a thing or animal previously mentioned as the subject of the clause,,itself,PRP
ALL,completely,,all,DT
BLATHER,talk long-windedly without making very much sense,I-PER,blather,NN
LOVE,strong feeling of affection,,love,NN
APRIL,fourth month of year,,april,NN
CAKE,sweet food,,cake,NN
AVENUE,broad road in town,,avenue,NN
ONLINE,available on internet,,online,NN
SHARK,long-bodied marine fish with prominent dorsal fin,I-PER,shark,NN
WATCH,look at or observe attentively over period of time,,watch,NN
SERVER,computer or computer program which manages access to centralized resource or service in network,,server,NN
SEARCH,try to find something by looking or otherwise seeking carefully,,search,NN
WATERFALL,cascade of water falling from height,,waterfall,NN
ACT,do something,,act,NN
APPROPRIATE,suitable or proper in circumstances,,appropriate,NN
COMMUNITY,group of people with common characteristic,,community,NN
ALL,referring to the whole,,all,DT
BEDSPREAD,decorative cloth used to cover bed when it is not in use,,bedspread,NN
TEACHERS,person who teaches,,teacher,NNS
ABDOMEN,part of body of vertebrate containing digestive and reproductive organs,,abdomen,NNS
QUESTION,ask someone questions,,question,NN
FRONT POCKET,"front pocket of pants, shorts etc.",,front pocket,NN
WATCH,look at or observe attentively over period of time,,watch,NN
ORDER,arrangement according to sequence,,order,NN
FINAL,coming at end of series,,final,JJ
ELECTRIC,system of electric wiring,,electric,JJ
GOAT,domesticated horned mammal,,goat,NN
TONIGHT,on present or approaching evening or night,,tonight,NN
FASTING,"abstain from all or some kinds of food or drink, especially as a religious observance",,fasting,VBG
YOUR,belonging to or associated with person or people that speaker is addressing,,your,PRP$
DOUBT,feeling of uncertainty,,doubt,NN
BANK STATEMENT,printed record of balance in bank account and amounts,,bank statement,NN
ATTENDANCE,action or state of going regularly to or being present at place or event,,attendance,NN
SCHEDULE,"plan for carrying out process or procedure, giving lists of intended events and times",,schedule,NN
BLOOPER,embarrassing error,,blooper,NN
BOIL,reach or cause to reach boiling point,,boil,NN
SET UP,place or erect something in position,,set up,NN
OCTOBER,tenth month of year,,october,NN
LIST 3/4,third option in a four option list in ASL,,list 3/4,NN
A,first letter of alphabet,,a,DT
NEWS,newly received or noteworthy information,,news,NN
IMAGINATION,faculty or action of forming new ideas,,imagination,NN
DEATH,action or fact of dying,,death,NN
AUTOMATE,convert process or facility to be operated by largely automatic equipment,,automate,NN
WYOMING,state in west central US,I-LOC,wyoming,VBG
DEVELOPER,person or thing that develops something,,developer,NN
MARCH,"third month of year, in northern hemisphere",,march,NN
HAIR,fine strand growing from skin,,hair,NN
SPORTS,activity in which individual or team competes against another,,sport,NNS
TRADITION,transmission of customs or beliefs from generation to generation,,tradition,NN
MINUS,minus sign,,minus,NN
STATISTIC,a fact or piece of data obtained from a study of a large quantity of numerical data,,statistic,JJ
BOLDNESS,willingness to take risks and act innovatively,,boldness,NN
GAY,gay person,,gay,NN
AND,"used to connect words of same part of speech, clauses, or sentences",,and,CC
BOOKSHELF,a shelf on which books can be stored.,,bookshelf,NN
ASSIST,help by sharing work,,assist,NN
IMPRESS,act of making impression,,impress,NN
LEGISLATE,make or enact laws,,legislate,NN
THAILAND,kingdom in SE Asia,I-LOC,thailand,NN
SNEEZE,make sudden involuntary expulsion of air from nose and mouth due to irritation of one's nostrils,,sneeze,NN
AMERICA,used as name for United States,I-LOC,america,NN
DENTIST,person who is qualified to treat diseases and other conditions that affect teeth and gums,,dentist,NN
YOUR,belonging to or associated with person or people that speaker is addressing,,your,PRP$
ON,as member of,,on,IN
SHOE,covering for foot not reaching above ankle,,shoe,NN
AHEAD OF TIME,in advance,,ahead of time,NN
EXAM,A test of specified kind,,exam,NN
HABIT,regular tendency or practice,,habit,NN
DISEASE,disorder of structure in human,,disease,NN
BLARE,make or cause to make loud,,blare,NN
SELFISH,lacking consideration for other people,,selfish,NN
TRIPPING,the act of catching one's foot on something and stumble or fall,,tripping,VBG
ALARMS, a signal (such as a loud noise or flashing light) that warns or alerts,,alarm,NNS
TIRED,in need of sleep or rest,,tired,VBN
SCOTT SCHWALBACH,fingerspell name scott schwalbach,I-PER,scott schwalbach,NN
CORRECT,free from error,,correct,NN
GOOD LUCK,used to express wishes for success,,good luck,NN
TEMPERATURE,degree or intensity of heat present in substance or object,,temperature,NN
ILL,unwell,,ill,NN
BAILIFF,sheriff's officer,,bailiff,NN
BALTIMORE,seaport in north Maryland,I-LOC,baltimore,NN
AREAS,the extent or measurement of a surface or piece of land,,area,NNS
CALL,contact or attempt to contact (a person or number) by phone,,call,NN
SITUATION,set of circumstances in which one finds oneself,,situation,NN
FAR,at or to great distance,,far,RB
LAPTOP,computer that is portable and suitable for use while travelling,,laptop,NN
EXPERIENCES,event or occurrence which makes impression,,experience,NNS
DINNER,main meal of day,,dinner,NN
SECRET,something that is kept or meant to be kept unknown or unseen by others,,secret,NN
BOY SCOUT,scout,,boy scout,NN
NEAR,short time away in future,,near,IN
ADVANCING,make progress,,advancing,VBG
SOUTH AFRICA,country occupying southernmost part of continent of Africa,I-LOC,south africa,NN
AGAINST,in opposition to,,against,IN
QUESTION,sentence worded or expressed so as to elicit information,,question,NN
PREVENT,keep something from happening,,prevent,NN
BIG,of great size or extent,,big,JJ
QUESTION,sentence worded or expressed so as to elicit information,,question,NN
CARRY,support and move,,carry,NN
COACH,sports instructor or trainer,,coach,NN
WHAT DO,asking for information specifying something,,what do,NN
BUTTERFLY,nectar-feeding insect with two pairs of large wings,,butterfly,NN
ASSISTANT PRINCIPAL,administrator of school ranking below principal,,assistant principal,NN
COVERS,put something over or in front of,,cover,NNS
CONCEPTS,abstract ideas,,concept,NNS
PERSON,human being regarded as individual,,person,NN
HOTEL,establishment providing accommodation for travellers and tourists,,hotel,NN
SPECIAL,"better, greater, or otherwise different from what is usual",,special,JJ
BOW,bend head as sign of respect etc.,,bow,NN
LIFTING,raise to a higher position or level,,lifting,VBG
ACTIVIST,person who campaigns to bring about political or social change,,activist,NN
FUNDAMENTAL,central rule or principle,,fundamental,JJ
A MIXTURE OF,made by mixing other substances together.,,a mixture of,NN
ICE SKATING,enlarge imagethe sport or activity of moving on ice on skates,,ice skating,VBG
SEE YOU LATER, goodbye,,see you later,NN
AID,practical help,,aid,NN
SOUTH DAKOTA,state in north central US,I-LOC,south dakota,NN
MOST,greatest amount,,most,JJS
CURIOSITY,strong desire to know or learn something,,curiosity,NN
FULL,having no empty space,,full,JJ
EXIT,leave place,,exit,NN
CERTIFICATE,official document attesting fact,,certificate,NN
UGLY,unpleasant or repulsive,,ugly,RB
GOOD,to be desired or approved of,,good,JJ
BASIC,fundamental,,basic,JJ
RANGE,area of variation between upper and lower limits on particular scale,,range,NN
WORST,of poorest quality or lowest standard,,worst,JJS
SUPPORT,give assistance to,,support,NN
ADJACENT,next to or adjoining something else,,adjacent,NN
UTILIZATION,action of making practical and effective use of something,,utilization,NN
YELLOW,yellow colour or pigment,,yellow,NN
VERY,in high degree,,very,RB
START,cause to happen or begin,,start,NN
BEAT,defeat,,beat,NN
POLITE,having or showing behaviour that is respectful and considerate of other people,,polite,NN
EMPTY,containing nothing,,empty,JJ
BREAK,a pause in work or during an activity or event,,break,NN
UNSTABLE,likely to give way,,unstable,JJ
SHORT HAIR,fine strand growing from skin on head cut short,,short hair,NN
PERMISSION,action of officially allowing someone to do particular thing,,permission,NN
SERVICE,action of helping or doing work for someone,,service,NN
PA,Pennsylvania (in official postal use),,pa,NN
BINGE EATING OR DRINKING,period of excessive indulgence in activity,,binge eating or drinking,NN
TORNADO,"mobile, destructive vortex of violently rotating winds having appearance of funnel-shaped cloud",,tornado,NN
YOU,used to refer to person or people that speaker is addressing,,you,PRP
COMPLEX,consisting of many different connected parts,,complex,JJ
MAYBE,mere possibility or probability,,maybe,RB
BEACH,seashore,,beach,NN
SCHOOL,institution for educating children,,school,NN
LIST 4,"four connected items or names written or printed consecutively, typically one below the other",,list 4,NN
HISTORY,past events connected with particular person or thing,,history,NN
RIGHT,"on, towards, or relating to side of human body or of thing which is to east",,right,NN
GRANDPA,one's grandfather,,grandpa,NN
ALGEBRA,part of mathematics in which letters and other general symbols are used to represent numbers and quantities,,algebra,NN
TRUE,accurate or exact,,true,JJ
OFTEN,frequently,,often,RB
BRIGHT,giving out much light,,bright,NN
ALARM CLOCK,clock that can be made to sound at set time,,alarm clock,NN
BLUNT,uncompromisingly forthright,I-PER,blunt,NN
CHICKEN,domestic fowl,,chicken,NN
PARK,public area of land for recreation,,park,NN
ACQUITTAL,judgement or verdict that person is not guilty of crime with which they have been charged,,acquittal,NN
ORBIT,elliptical course of celestial object,,orbit,NN
POSITIVE,"constructive, optimistic, or confident",,positive,JJ
EXAMPLE,thing characteristic of its kind,,example,NN
