word,definition
PEOPLE,human beings
FLOOD,overflow of large amount of water over dry land
CAT,domesticated carnivorous mammal
FOCUS,pay particular attention to
BAD HABIT,A bad habit is a behaviour pattern perceived as negative.
GOSSIP,"casual or unconstrained conversation or reports about other people, typically involving details that are not confirmed as being true"
EXPLAIN,make idea or situation clear to someone by describing it in more detail
ATTEMPT,make effort to do
SNAKE,"long limbless reptile which has no eyelids, short tail, and jaws"
MUCH,large amount of
FROM,indicating point where thing starts
AMAZED,greatly surprised
FIELD,area of open land
INTEREST,excite curiosity or attention of
BUS STATION,"the place in a town or city where buses leave and arrive, especially to and from other towns"
AIRBORNE,transported by air
DELIVERY,action of delivering
3 ROWS,three people or things in more or less straight line
OXYGEN MASK FALL,airplane oxygen mask dropping
KNEE,joint between thigh and lower leg
DISCUSSION,action or process of talking about something
ASYLUM,institution for care of people with mental illness
HIT,instance of striking target
EXACT,precise
ARRIVE,reach decision
ALL IN,completely committed to something
SOON,in or after short time
SUNGLASSES,glasses tinted to protect eyes from sunlight or glare
BET,risk money or valued item
BUMFUZZLE,"(Often in passive). To deceive, confuse, or astound (a person or group); to bamboozle, bewilder."
CONTACT,state or action of communicating
SHOW,demonstrate or prove
SWEDEN,country occupying eastern part of Scandinavian peninsula
EXPECTED,regarded as likely
LOOKALIKE,person or thing that closely resembles another
SOCIAL MEDIA,websites and applications that enable users to create and share content
ACCORD,"give or grant someone (power, status, or recognition)"
CAUSE,source or reason
ADMINSTRATION,"the process or activity of running a business, organization, etc."
FIRST OPTION,coming before all others
PROFESSIONAL,professional person
SKATEBOARDING,sport or pastime of riding on skateboard
NAVIGATION,process or activity of accurately ascertaining one's position and planning and following route
SCARF,length or square of fabric worn around neck
BLINDS,window screen
SERVICES,action of helping or doing work for someone
QUOTE,quotation from text or speech
DIFFICULT,"needing much effort or skill to accomplish, deal with, or understand"
COLOR,property of affecting eye by reflecting or emitting light
SURPRISE,"unexpected or astonishing event, fact"
SEND,cause to go or be taken to particular destination
JEWELLERY,personal ornaments made from or containing jewels and precious metal
SEVERE,strict or harsh
FATHERS DAY,"a day of the year on which fathers are particularly honoured by their children. It was first observed in the state of Washington in 1910; in the US, South Africa, and Britain, it is usually the third Sunday in June, in Australia, the first Sunday in September."
SAME,identical
BREAK WIND,emit wind from anus
BUTT,buttocks or anus
SUDDEN,occurring or done quickly and unexpectedly or without warning
DINNER,main meal of day
IN DEPTH,comprehensively
APOLOGETIC,expressing or showing regretful acknowledgement of offence or failure
BISHOP,senior member of Christian clergy
BUSY,having a great deal to do
PLAY,activity engaged in for recreation
GOOSE ,large waterbird
WELCOME,an instance or manner of greeting someone
FACETIME,have a face-to-face conversation with (someone) over the internet using the mobile app FaceTime
RELEASE,action or process of releasing or being released
MUSTACHE,strip of hair left to grow above upper lip
HOUR,twenty-fourth part of day
PREFER,like one thing or person better than another or others
TWO OF YOU,"used for emphasis to refer to two people, regarded and identified together"
BONE,piece of hard tissue making up skeleton
DOOR,barrier at entrance to building or room
NEAREST,at short distance away from
LONG HAIR,hair that is longer than standard length
PAY ATTENTION,"to watch, listen to, or think about something or someone carefully or with interest"
SILVER SPRING,"Silver Spring is a census-designated place (CDP) in southeastern Montgomery County, Maryland, United States, near Washington, D.C."
REAL,actually existing as thing or occurring in fact
LET,allow
FUNNY,causing amusement
ANECDOTE,short amusing or interesting story
WATCHED,look at or observe attentively over a period of time
TWENTY FOUR,The cardinal number that is the sum of twenty-three and one
PENNSYLVANIA,"a state in the north-eastern US; population 12,448,279 (est. 2008); capital, Harrisburg. Founded in 1682 by William Penn, it was one of the original thirteen states of the Union and ratified the US Constitution in 1787"
RIDE,sit on and control movement of
LESS,smaller amount of
BODY,physical structure of person or animal
BILATERAL HEARING LOSS,lacking power of hearing or having impaired hearing in both ears
MISCHIEVOUS,causing or showing fondness for causing trouble in playful way
SWARM,large or dense group of flying insects
K,eleventh letter of alphabet
POINT BOTTOM,direct someone's attention towards something by extending one's finger or something held in one's hand
COMPROMISE,an agreement or settlement of a dispute that is reached by each side making concessions
VIRTUALIZATION,action of creating image
MAKE,form something
ASSETS,useful or valuable thing or person
BEAVER,large semiaquatic rodent
DENMARK,Scandinavian country consisting of greater part of Jutland peninsula and several neighbouring island
AMAZON,"Amazon.com, Inc. is an American multinational technology company focusing on e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence."
BUFF,polish (something)
SUNDAY,"day of week before Monday and following Saturday, observed by Christians as day of rest and religiou"
FAVOURITE,preferred to all others of same kind
KEEP,have or retain possession of
CARDS,piece of stiff paper
ASSORTMENT,miscellaneous collection of things or people
BOOK,written or printed work
AWS,Amazon Web Service
SUBSCRIPTION,action of making or agreeing to make advance payment
SQUANDER,waste something
PROCEED,begin course of action
CONFUSED,bewildered
WELCOME,instance or manner of greeting someone
CENTERS,"the point from which an activity or process is directed, or on which it is focused."
BITTEN,past participle of bite
TRAFFIC,vehicles moving on public highway
PREVENT,keep something from happening
SAFETY,condition of being protected from or unlikely to cause danger or injury
THIRSTY,feeling need to drink
ESCAPE,break free from confinement or control
OBSERVE,to watch or look at something
SUPPOSE,think or assume that something is true or probable but lack proof
BAKING,action of cooking food by dry heat
OVERALLS,protective garment
STORED,keep or accumulate something for future use
WILL,expressing inevitable events
FIGHT,take part in violent physical struggle
HAVE,"possess, own, or hold"
LUNCH,meal eaten in middle of day
VANILLA,substance obtained from vanilla pods or produced artificially and used to flavour foods or to impart
TEAM,come together as team to achieve common goal
WARNING,statement or event that warns of something or that serves as cautionary example
ACADEMIC,relating to education
SUPREME,superior to all others
OPEN,move door or window to allow access
MISSISSIPPI,"a major river of North America, which rises in Minnesota near the Canadian border and flows south to a delta on the Gulf of Mexico. With its chief tributary, the Missouri River, it is 5,970 km (3,710 miles) long"
NOTEBOOK,small book with blank or ruled pages for writing notes in
SYMBOL,thing that represents for something else
YOU AND ME,used to refer to any person in general
BRUTAL,savagely violent
REALIZED,become fully aware of something as fact
POSSIBLE,able to be done
ANSWER,thing said in response to another
BRAND NEW,"completely new, especially not yet used"
BEST FRIEND,person's closest friend
DRIVE,operate motor vehicle
JOB,position of employment
FAT,having much excess flesh
BARELY,only just
SCORE,"the number of points, goals, runs, etc. achieved in a game or by a team or an individual"
THANKS,expression of gratitude
BIKINI,two-piece swimming costume for women
BEING ON TIME,happening or doing something at agreed or proper time
WHAT,asking for information specifying something
WHAT DO,asking for information specifying something
SLOW,at slow pace
ESSENTIAL,necessary thing
DREAM,thoughts and images during sleep
US,United States
MARYLAND,"state of eastern US, on Atlantic coast"
MINIMIZE,reduce something to smallest possible amount or degree
TIME,point of time as measured in hours and minutes past midnight or noon
MISSISSIPPI,major river of North America
ANNOYED,slightly angry
COLORADO,river which rises in Rocky Mountains of northern Colorado
BUSINESS,person's regular occupation etc.
TENNESSEE,"river in south-eastern US, flowing some 1,400 km 875 miles in great loop"
HELP YOU,assist someone to do something
UNIVERSITY,high-level educational institution in which students study for degrees
INFLUENCE,capacity to have effect on someone or something
BANK ON,base one's hopes on
ASSURANCE,promise
BABE,affectionate form of address
AGAIN,once more
ACCIDENTALLY,by chance
GYMNASTICS,exercises developing or displaying physical agility and coordination
MEMORIES,faculty of remembering
STORAGE,action or method of storing something for future use
JOINT,structure in body where two parts join
BARN,large farm building used for storing grain
BITTERNESS,sharpness of taste
ADOPT,legally take (another's child) and bring it up as one's own
MINUTE,sixty seconds
OLD,no longer young
FIGHT,violent confrontation or struggle
BUSH,a shrub or clump of shrubs with stems of moderate length
WATERPOLO,"seven-a-side game played by swimmers in pool, with ball like football"
LET YOU KNOW,inform someone.
EACH,used to refer to every one of two or more people or things
COMPLAIN,express dissatisfaction or annoyance
RABBIT,gregarious burrowing plant-eating mammal
ALLEGIANCE,loyalty or commitment to superior or to group
EASTER,most important and oldest festival of Christian Church
NEXT WEEK,week after next
ROWS,a number of people or things in a more or less straight line
FLASH,shine briefly or intermittently
DEV-OPS,"DevOps is a methodology in the software development and IT industry. Used as a set of practices and tools, DevOps integrates and automates the work of software development and IT operations as a means for improving and shortening the systems development life cycle."
SNOW,snow falls
SIMPLE,easily understood or done
CHIROPRACTOR,practitioner of chiropractic
ANOINT,ceremonially apply oil to
360,The number three-sixty
BROOM,"long-handled brush of bristles or twigs, used for sweeping"
BAY,broad inlet of sea where land curves inwards
NORTH,to or towards north
FIRE STATION,The building where firefighters and fire trucks/fire engines are housed
OPERATING SYSTEM,operating system
INDIVIDUAL,single or separate
ABSENCE,state of being away from place or person
ELASTIC,able to resume shape spontaneously
SMOKE,visible suspension of carbon or other particles in air
ANTIQUES,valuable old objects
REPLY,say something in response to something someone has said
CD-DRIVE,A CD drive is a device used with a computer to read or write a compact disc.
AU PAIR,young person from abroad who helps with housework or childcare
HARD,solid and firm
FIND,discover by chance or unexpectedly
BOURGEOISIE,middle class
BREEZE,gentle wind
MINNESOTA,state in northern central US
DECIDE,make up one's mind
ASTONISHING,extremely surprising or impressive
SMOKING,action or habit of inhaling and exhaling smoke of tobacco
MIXED,consisting of different qualities or elements
PRESENTED,give or award formally or ceremonially
WEEKEND,Saturday and Sunday
AIRPLANE CRASH,an airplane crash landing
LEARN,gain knowledge of or skill in something
SEATBELT,a belt used to secure someone in the seat of a motor vehicle or aircraft
AWS,"Amazon Web Services, Inc. is a subsidiary of Amazon that provides on-demand cloud computing platform"
RELATED,belonging to same family or type
PHILOSOPHY,study of nature of knowledge and reality
INTRODUCTION,formal presentation of one person to another
ADDED,denoting increased or enhancing quality or factor
SANDWICH,item of food consisting of two pieces of bread with filling
CLOUD,mass of condensed watery vapour
ANTI,opposed to; against
LOOK,have appearance of being
BLOOD CLOT,gelatinous mass of fibrin and blood cells formed by coagulation of blood
RECENTLY,at recent time
RUNNING,operation or production of a machine or process
RESPECT,feeling of deep admiration for person or thing elicited by their abilities or achievements
GOATEE,small pointed beard like that of goat
LONG SLEEVE,A sleeve extending from shoulder to wrist
HISTORY,study of past events
GOOD,to be desired or approved of
CLOSE,move to cover opening
WINTER,"coldest season of year, in northern hemisphere from December to February and in southern hemisphere"
TRUTH,quality or state of being true
TOUCH,act of touching person or thing
ANNOY,make someone little angry
FAR OUT,unconventional or avant-garde
COMPLETE,finish making or doing
EXHIBIT,publicly display work of art
MOUSE,small rodent with long tail
TOPIC,matter dealt with in text or conversation
HEART,organ that pumps the blood through body
JUICE,liquid present in fruit or vegetables
FACE MASK,facial covering
AWS,Amazon Web Service
END,furthest or most extreme part
BALCONY,platform on outside of building
SIMPLE,easily understood or done
TOP,"highest or uppermost point, part"
INTERESTING,arousing curiosity or interest
CASHIER,person handling payments and receipts in shop or business
DO,perform action
OCEAN,very large expanse of sea
SOFT,"easy to mould, cut or fold"
STORM,"be violent, with strong winds and usually rain, thunder or snow"
NEXT,next person or thing
HATERS,a person who greatly dislikes a specified person or thing
INSURANCE,compensation arrangement for loss etc.
PREDICT,say or estimate that specified thing will happen in future or will be consequence of something
FREE,given or available without charge
FIRST,coming before all others
WRITE,mark symbols on surface with pen
BONY,of or like bone
HUMBLE,having modest estimate of one's importance
AFTER,in time following
INFORM ME,give facts or information
SCARE,cause great fear or nervousness in
AMBIGUITY,quality of being open to more than one interpretation
STREAMING,relating to data transmitted in continuous stream
AWE,feeling of reverential respect mixed with fear or wonder
PEANUT BUTTER,"a thick soft substance made from peanuts, usually eaten spread on bread"
BRIEF,of short duration
JOURNEY,act of travelling from one place to another
WHITE,white colour or pigment
LOAN,money borrowed
NONE,by no amount
DAMAGE,physical harm that impairs something
FUNNY,causing amusement
NEWS,newly received or noteworthy information
CONGRESS,"a national legislative body, especially that of the US. The US Congress, which meets at the Capitol in Washington DC, was established by the Constitution of 1787 and is composed of the Senate and the House of Representatives"
ABOUT,on subject of
MONKEY,small primate with long tail
BACK WHEN,"In the past, when people were."
ALMOST,not quite
BOTH,"used for emphasis to refer to two people or things, regarded and identified together"
FOOD,any nutritious substance that people or animals
SMART,having or showing quick-witted intelligence
DELIBERATION,long and careful consideration or discussion
COFFEE,hot drink
CONTROL,direct and supervise
FACE,front part of head
ATTIRE,be dressed in clothes of specified kind
GOAL,aim or desired result
ATTAINED,succeed in achieving (something that one has worked for).
SPRING,"season after winter and before summer, in which vegetation begins to appear, in northern hemisphere from March to May"
DATABASE,structured set of data held in computer
ALL OVER,everywhere
WHY,for what reason or purpose
OPEN,move door or window to allow access
I LOVE YOU,affirmation of love or affection towards another person or group
ARKANSAS,"a state in the south central US; population 2,855,390 (est. 2008); capital, Little Rock. It became the 25th state of the US in 1836"
SELFIE,photograph one has taken of oneself
SCUBA DIVING,sport or activity of swimming underwater using scuba
BOTHER,"(of a circumstance or event) worry, disturb, or upset (someone)"
ELEVEN,one more than ten
MONDAY,day of week before Tuesday and following Sunday
LATER,goodbye for present
AT FAULT,responsible for undesirable situation
RAIN,condensed moisture of atmosphere falling visibly in separate drops
GOD,(in Christianity and other monotheistic religions) the creator and ruler of the universe and source of all moral authority; the supreme being
LOOK,direct gaze in specified direction
3 HAND 3,listing 3 out of 3
WELCOME,used to greet someone in polite or friendly way
BISON,humpbacked shaggy-haired wild ox native to North America
PERCENT,by specified amount in or for every hundred
BRAZIL,largest country in South America
ARTICULATE,fluent and coherent
NEED,require something essential
SOUTH,direction towards point of horizon 90° clockwise from east
MODEL,person who displays clothes by wearing them
BOTTLE,container for storing liquids
STEPBROTHER,son of step-parent by relationship other than that with one's own father or mother
IMAGINATION,faculty or action of forming new ideas
EASY GOING,relaxed and tolerant in attitude or manner
VISITOR,person visiting someone or somewhere
BELUGA,small white toothed whale
BUZZ,move quickly or busily
BEACH,seashore
A YEAR AGO,"You use ago when you are referring to past time. For example, if something happened one year ago, it is one year since it happened. If it happened a long time ago, it is a long time since it happened."
LOAN ME,lend
ARROW,weapon consisting of thin stick with sharp point
LANGUAGE,method of human communication
CANDLE,wax light
PROUD,feeling pleasure or satisfaction as result of achievements etc.
GO,leave
MALL,shopping area
EVERY,used before singular noun to refer to all individual members of set without exception
CHEAP,low in price
BENCH,long seat
ARSON,criminal act of deliberately setting fire to property
TRANSFER,move from one place to another
SPILL,cause or allow liquid to flow over edge of its container
ILLEGAL,contrary to law
INFRASTRUCTURE,basic physical and organizational structures and facilities
FAVORITE,preferred to all others of the same kind.
RESTAURANT,place where people pay to sit and eat meals
MISSED,not able to be found
INSTAGRAM,post photograph on Instagram
DOWN,towards or in lower position
DELIBERATIONS,long and careful consideration or discussion
BOOK,written or printed work
NORTH CAROLINA,state of east central US
FIELD,area of open land
STRICT,demanding that rules concerning behaviour are obeyed and observed
FINISH,complete task or activity
LOOK,appearance of someone or something
COMPLETE,having all necessary parts
UP,towards higher place or position
HUNGRY,feeling or showing hunger
NOISE,sound
MEET,come into same place as someone
WHOM,used instead of 'who' as object of verb or preposition
NORTH DAKOTA,"agricultural state in north central US, on border with Canada"
ALSO,in addition
CONSOLE,panel or unit accommodating set of controls for electronic or mechanical equipment
NOTHING,not anything
NEVER,not at all
NEWSPAPER,printed publication containing news
POLAND,country in central Europe with coastline on Baltic Sea
ATTEND,be present at
BORDER,line separating two areas
THAN,used in expressions introducing exception or contrast
BRUSH-TEETH,using a small brush to clean teeth
THESE THREE,indicate three things
BACKGROUND,prevailing circumstances
PIZZA,"dish of Italian origin, consisting of flat round base of dough baked with topping of tomatoes and cheese"
RESPONSIBLE,being primary cause of something and so able to be blamed or credited for it
FOUNDATION,underlying basis or principle
ITSELF,used as the object of a verb or preposition to refer to a thing or animal previously mentioned as the subject of the clause
ALL,completely
BLATHER,talk long-windedly without making very much sense
LOVE,strong feeling of affection
APRIL,fourth month of year
CAKE,sweet food
AVENUE,broad road in town
ONLINE,available on internet
SHARK,long-bodied marine fish with prominent dorsal fin
WATCH,look at or observe attentively over period of time
SERVER,computer or computer program which manages access to centralized resource or service in network
SEARCH,try to find something by looking or otherwise seeking carefully
WATERFALL,cascade of water falling from height
ACT,do something
APPROPRIATE,suitable or proper in circumstances
COMMUNITY,group of people with common characteristic
ALL,referring to the whole
BEDSPREAD,decorative cloth used to cover bed when it is not in use
TEACHERS,person who teaches
ABDOMEN,part of body of vertebrate containing digestive and reproductive organs
QUESTION,ask someone questions
FRONT POCKET,"front pocket of pants, shorts etc."
WATCH,look at or observe attentively over period of time
ORDER,arrangement according to sequence
FINAL,coming at end of series
ELECTRIC,system of electric wiring
GOAT,domesticated horned mammal
TONIGHT,on present or approaching evening or night
FASTING,"abstain from all or some kinds of food or drink, especially as a religious observance"
YOUR,belonging to or associated with person or people that speaker is addressing
DOUBT,feeling of uncertainty
BANK STATEMENT,printed record of balance in bank account and amounts
ATTENDANCE,action or state of going regularly to or being present at place or event
SCHEDULE,"plan for carrying out process or procedure, giving lists of intended events and times"
BLOOPER,embarrassing error
BOIL,reach or cause to reach boiling point
SET UP,place or erect something in position
OCTOBER,tenth month of year
LIST 3/4,third option in a four option list in ASL
A,first letter of alphabet
NEWS,newly received or noteworthy information
IMAGINATION,faculty or action of forming new ideas
DEATH,action or fact of dying
AUTOMATE,convert process or facility to be operated by largely automatic equipment
WYOMING,state in west central US
DEVELOPER,person or thing that develops something
MARCH,"third month of year, in northern hemisphere"
HAIR,fine strand growing from skin
SPORTS,activity in which individual or team competes against another
TRADITION,transmission of customs or beliefs from generation to generation
MINUS,minus sign
STATISTIC,a fact or piece of data obtained from a study of a large quantity of numerical data
BOLDNESS,willingness to take risks and act innovatively
GAY,gay person
AND,"used to connect words of same part of speech, clauses, or sentences"
BOOKSHELF,a shelf on which books can be stored.
ASSIST,help by sharing work
IMPRESS,act of making impression
LEGISLATE,make or enact laws
THAILAND,kingdom in SE Asia
SNEEZE,make sudden involuntary expulsion of air from nose and mouth due to irritation of one's nostrils
AMERICA,used as name for United States
DENTIST,person who is qualified to treat diseases and other conditions that affect teeth and gums
YOUR,belonging to or associated with person or people that speaker is addressing
ON,as member of
SHOE,covering for foot not reaching above ankle
AHEAD OF TIME,in advance
EXAM,A test of specified kind
HABIT,regular tendency or practice
DISEASE,disorder of structure in human
BLARE,make or cause to make loud
SELFISH,lacking consideration for other people
TRIPPING,the act of catching one's foot on something and stumble or fall
ALARMS, a signal (such as a loud noise or flashing light) that warns or alerts
TIRED,in need of sleep or rest
SCOTT SCHWALBACH,fingerspell name scott schwalbach
CORRECT,free from error
GOOD LUCK,used to express wishes for success
TEMPERATURE,degree or intensity of heat present in substance or object
ILL,unwell
BAILIFF,sheriff's officer
BALTIMORE,seaport in north Maryland
AREAS,the extent or measurement of a surface or piece of land
CALL,contact or attempt to contact (a person or number) by phone
SITUATION,set of circumstances in which one finds oneself
FAR,at or to great distance
LAPTOP,computer that is portable and suitable for use while travelling
EXPERIENCES,event or occurrence which makes impression
DINNER,main meal of day
SECRET,something that is kept or meant to be kept unknown or unseen by others
BOY SCOUT,scout
NEAR,short time away in future
ADVANCING,make progress
SOUTH AFRICA,country occupying southernmost part of continent of Africa
AGAINST,in opposition to
QUESTION,sentence worded or expressed so as to elicit information
PREVENT,keep something from happening
BIG,of great size or extent
QUESTION,sentence worded or expressed so as to elicit information
CARRY,support and move
COACH,sports instructor or trainer
WHAT DO,asking for information specifying something
BUTTERFLY,nectar-feeding insect with two pairs of large wings
ASSISTANT PRINCIPAL,administrator of school ranking below principal
COVERS,put something over or in front of
CONCEPTS,abstract ideas
PERSON,human being regarded as individual
HOTEL,establishment providing accommodation for travellers and tourists
SPECIAL,"better, greater, or otherwise different from what is usual"
BOW,bend head as sign of respect etc.
LIFTING,raise to a higher position or level
ACTIVIST,person who campaigns to bring about political or social change
FUNDAMENTAL,central rule or principle
A MIXTURE OF,made by mixing other substances together.
ICE SKATING,enlarge imagethe sport or activity of moving on ice on skates
SEE YOU LATER, goodbye
AID,practical help
SOUTH DAKOTA,state in north central US
MOST,greatest amount
CURIOSITY,strong desire to know or learn something
FULL,having no empty space
EXIT,leave place
CERTIFICATE,official document attesting fact
UGLY,unpleasant or repulsive
GOOD,to be desired or approved of
BASIC,fundamental
RANGE,area of variation between upper and lower limits on particular scale
WORST,of poorest quality or lowest standard
SUPPORT,give assistance to
ADJACENT,next to or adjoining something else
UTILIZATION,action of making practical and effective use of something
YELLOW,yellow colour or pigment
VERY,in high degree
START,cause to happen or begin
BEAT,defeat
POLITE,having or showing behaviour that is respectful and considerate of other people
EMPTY,containing nothing
BREAK,a pause in work or during an activity or event
UNSTABLE,likely to give way
SHORT HAIR,fine strand growing from skin on head cut short
PERMISSION,action of officially allowing someone to do particular thing
SERVICE,action of helping or doing work for someone
PA,Pennsylvania (in official postal use)
BINGE EATING OR DRINKING,period of excessive indulgence in activity
TORNADO,"mobile, destructive vortex of violently rotating winds having appearance of funnel-shaped cloud"
YOU,used to refer to person or people that speaker is addressing
COMPLEX,consisting of many different connected parts
MAYBE,mere possibility or probability
BEACH,seashore
SCHOOL,institution for educating children
LIST 4,"four connected items or names written or printed consecutively, typically one below the other"
HISTORY,past events connected with particular person or thing
RIGHT,"on, towards, or relating to side of human body or of thing which is to east"
GRANDPA,one's grandfather
ALGEBRA,part of mathematics in which letters and other general symbols are used to represent numbers and quantities
TRUE,accurate or exact
OFTEN,frequently
BRIGHT,giving out much light
ALARM CLOCK,clock that can be made to sound at set time
BLUNT,uncompromisingly forthright
CHICKEN,domestic fowl
PARK,public area of land for recreation
ACQUITTAL,judgement or verdict that person is not guilty of crime with which they have been charged
ORBIT,elliptical course of celestial object
POSITIVE,"constructive, optimistic, or confident"
EXAMPLE,thing characteristic of its kind
BULLET,"a metal projectile for firing from a rifle, revolver, or other small firearm, typically cylindrical and pointed, and sometimes containing an explosive"
JUNE,"sixth month of year, in northern hemisphere"
CONTINUE,persist in activity
FORWARD,onward so as to make progress
MISSOURI,"state of US, bounded on east by Mississippi River"
SEPERATE,forming or viewed as unit apart or by itself
BROOK,a small stream
TEN,equivalent to product of five and two
PANTS,trousers
LESSONS,period of learning or teaching
BURGER-KING,Burger King Corporation is an American multinational chain of hamburger fast food restaurants.
LINES,mark with lines
CONTRACT,agreement intended to be legally enforceable
BUSINESS,person's regular occupation etc.
GRASS,vegetation consisting of short plants with long narrow leaves
BRAID,interlaced length of hair
LOST,that has been taken away or cannot be recovered
BOTTOM,in lowest position
AWAKE,stop sleeping
SKY,region of atmosphere and outer space seen from earth
LIGHT,device for producing flame
CASE,a container designed to hold or protect something
CORRECT,free from error
J,tenth letter of alphabet
CANADA,"second largest country in world, covering entire northern half of North America with exception of Al"
INSTALL,place or fix equipment or machinery in position ready for use
APPLY,make formal application
LIST 4,a list of four options in ASL
CLEAR,easy to understand
REAR,back part of something
EXPERIENCE,event or occurrence which makes impression
BASIS,underlying support or foundation for idea or process
WHY,used to add emphasis to response
SEE,discern or deduce after reflection or from information
CONTRACTS,agreement intended to be legally enforceable
CAN'T,cannot
LIKE,similar to
ONE,lowest cardinal number
WEBSITE,set of related web pages located under single domain name
HOCKEY,team game between players using hooked sticks to drive ball towards goal
PROVIDERS,person or thing that provides something
MASSIVE,exceptionally large
DO,perform action
DASH,a horizontal stroke in writing or printing to mark a pause or break in sense or to represent omitted letters or words
ARKANSAS,state of south central US
DISCOUNT,deduction from usual cost
EAST,direction where sun rises
DAUGHTER,girl in relation to parents
CLICK,make click
WELLINGTON,"the capital of New Zealand, situated at the southern tip of the North Island; population 179,463 (2006). It became the capital in 1865, when the seat of government was moved from Auckland"
SPIDER,eight-legged predatory arachnid
PROTECT,keep safe from harm or injury
STILL,up to and including present or time mentioned
FRONT YARD,piece of uncultivated ground adjoining building
FOCUS,pay particular attention to
STORY,account of imaginary or real people
POSSIBLE,able to be done
TOUR,journey for pleasure in which several different places are visited
DELAY,make late or slow
SLEEPING BAG,"a thick warm bag that you use for sleeping in, for example when you are camping"
PREACHER,person who preaches
YOU ALL,used to refer to person or people that speaker is addressing
ARAB,relating to Arabian people
COUPLE,two similar people or things
PROBLEM,unwelcome or harmful matter
RELIGION,"the belief in and worship of a superhuman power or powers, especially a God or gods"
ELBOWS DOWN,airplane brace position act.
ABOLITION,"the action of abolishing a system, practice, or institution"
SAND,loose granular substance resulting from erosion of siliceous and other rocks
BOOGIE,dance to pop or rock music
UPRIGHT,sitting or standing with back straight
NEXT MONTH,the following month or coming month
BLENDER,electric mixing machine
SEE,perceive with eyes
DRINK,swallow liquid
APOSTROPHE,punctuation mark used to indicate either possession
ACCIDENT,unexpected incident
ADOLESCENCE,period following onset of puberty during which young person develops from child into adult
IRAQ,"country in Middle East, on Persian Gulf"
LIST OF THREE,number of items written or printed consecutively
WASH HANDS,clean with water and soap or detergent
ADVISOR,a person who gives advice in a particular field
CONTINUED,without break in continuity
BIZARRE,very strange or unusual
LOWEST,of less than average height from top to bottom or to the top from the ground.
HISPANIC,"a Spanish-speaking person, especially one of Latin American descent, living in the US"
ABUSE,treat badly
CONCEPT,abstract idea
LEAK,hole through which contents may leak
ROOF,structure forming upper covering of building or vehicle
WHERE,in or to what place or position
RELAX,make or become less tense or anxious
DEPOSIT,sum payable as first instalment
BOOST,help something to increase
MODEL,example to follow or imitate
ANSWER,thing said in response to another
WEIGHTLIFTING,sport or activity of lifting barbells or other heavy weights
AVIATION,flying or operating of aircraft
FEW,small number of
TORNADO,"mobile, destructive vortex of violently rotating winds having appearance of funnel-shaped cloud"
ALL,completely
WHO,what or which person or people
APPLAUD,show approval or praise by clapping
BABY,very young child
HIS,relating to male person or animal
HALL,room inside entrance of house etc.
SING,make musical sounds with voice
BICEPS,any of several muscles having two points of attachment at one end
OWNER,person who owns something
COST,amount paid
MISSOURI,"a major river of North America, one of the main tributaries of the Mississippi River. It rises in the Rocky Mountains in Montana and flows 3,736 km (2,315 miles) to meet the Mississippi just north of St Louis"
COMMON SENSE,good sense and sound judgment in practical matters.
CARDS,piece of stiff paper
BABYSITTER,person who looks after child or children while parents are out
AVERAGE,number expressing the central or typical value in a set of data
SO-SO,not particularly good or bad; average
BLANK FACE,"A blank expression, also known as a poker face, is a facial expression characterized by neutral positioning of the facial features, implying a lack of strong emotion."
FAR,at or to great distance
VETERANS DAY,"a holiday in the US on 11 November, in honour of members of the armed forces and others who have died in war"
TECHNOLOGY,application of scientific knowledge for practical purposes
BILL,statement of money owed
BELATED,coming or happening later than should have been case
DIAMOND RING,precious stone ring
CLEAN,free from dirt
MYSQL,open-source relational database management system
MECHANIC,skilled worker who repairs and maintains vehicle engines
SECRETARY,"person employed by individual or in office to assist with correspondence, make appointments, and car"
LIST,number of items written or printed consecutively
ABOVE,over and not touching
FIFTH OPTION,constituting number five in sequence
OLD,of specified age
ADMIRE,regard with respect or warm approval
RUN,move at speed faster than walk
MONEY,coins and banknotes
PRESIDENTS' DAY,"(in the US) a legal holiday on the third Monday in February, in memory of the birthdays of George Washington and Abraham Lincoln"
OPEN ARM REST,airplane safety procedure equiptment location in seat arm rest
BROWN,brown colour or pigment
NEVADA,state of western US
THEN,after that
APART,separated by distance
TERRITORY,an area of land under the jurisdiction of a ruler or state
TRUE,accurate or exact
THROW,propel something with force through air by movement of arm and hand
KEY,implement for opening or closing lock
UNITED KINGDOM,country of western Europe
SHOCK,sudden upsetting or surprising event or experience
EDUCATION,process of educating or being educated
SHARE,part or portion of larger amount which is divided
SKIN,the thin layer of tissue forming the natural outer covering of the body of a person or animal
APPROPRIATE,suitable or proper in circumstances
STREAMING,method of relaying data over computer network as steady continuous stream
FEET,lower extremity of leg below ankle
WILL,expressing future tense
BRIDESMAID,girl or woman who accompanies bride on her wedding day
FIVE,equal to sum of two and three
DEEP,extending far down
UNDERSTAND,perceive intended meaning of
BIRD WATCHING,observation of birds in their natural habitats as hobby
PLAN,detailed proposal
FALL IN LOVE,develop a deep romantic attachment to someone
SEAT BELT,a belt that is attached to the seat in a car or plane and that you fasten around yourself so that you are not thrown out of the seat if there is an accident
SURVEY,investigate opinions or experience of group of people by asking them questions
